Local Time,kW sd del
2019-05-01 00:00:00,1627.8301086425781
2019-05-01 01:00:00,1452.8810729980469
2019-05-01 02:00:00,1282.6134948730469
2019-05-01 03:00:00,1168.7854309082031
2019-05-01 04:00:00,1093.3384399414062
2019-05-01 05:00:00,1012.1875915527344
2019-05-01 06:00:00,921.3081359863281
2019-05-01 07:00:00,863.63818359375
2019-05-01 08:00:00,940.0933990478516
2019-05-01 09:00:00,1163.0073852539062
2019-05-01 10:00:00,1331.7781372070312
2019-05-01 11:00:00,1489.7337646484375
2019-05-01 12:00:00,1606.8386535644531
2019-05-01 13:00:00,1735.2271423339844
2019-05-01 14:00:00,1756.9273986816406
2019-05-01 15:00:00,1826.021484375
2019-05-01 16:00:00,1797.7746887207031
2019-05-01 17:00:00,1684.3236083984375
2019-05-01 18:00:00,1625.87890625
2019-05-01 19:00:00,1677.5735778808594
2019-05-01 20:00:00,1717.1157531738281
2019-05-01 21:00:00,1826.4336242675781
2019-05-01 22:00:00,1867.4333801269531
2019-05-01 23:00:00,1800.2270812988281
2019-05-02 00:00:00,1604.5357360839844
2019-05-02 01:00:00,1391.0283508300781
2019-05-02 02:00:00,1257.6001586914062
2019-05-02 03:00:00,1146.2484741210938
2019-05-02 04:00:00,1040.2098388671875
2019-05-02 05:00:00,983.1136779785156
2019-05-02 06:00:00,917.0855102539062
2019-05-02 07:00:00,779.3455505371094
2019-05-02 08:00:00,745.7837219238281
2019-05-02 09:00:00,789.3362121582031
2019-05-02 10:00:00,875.9266815185547
2019-05-02 11:00:00,973.3526000976562
2019-05-02 12:00:00,1075.0870056152344
2019-05-02 13:00:00,1142.7756958007812
2019-05-02 14:00:00,1235.32666015625
2019-05-02 15:00:00,1400.00390625
2019-05-02 16:00:00,1392.9316101074219
2019-05-02 17:00:00,1286.6062316894531
2019-05-02 18:00:00,1299.0368347167969
2019-05-02 19:00:00,1459.1376037597656
2019-05-02 20:00:00,1514.4022827148438
2019-05-02 21:00:00,1579.4681091308594
2019-05-02 22:00:00,1593.3268737792969
2019-05-02 23:00:00,1536.8177795410156
2019-05-03 00:00:00,1429.6976623535156
2019-05-03 01:00:00,1309.9241638183594
2019-05-03 02:00:00,1203.1520385742188
2019-05-03 03:00:00,1111.9653930664062
2019-05-03 04:00:00,1036.6785736083984
2019-05-03 05:00:00,961.1783447265625
2019-05-03 06:00:00,863.3415985107422
2019-05-03 07:00:00,792.7705535888672
2019-05-03 08:00:00,841.6119689941406
2019-05-03 09:00:00,1037.825210571289
2019-05-03 10:00:00,1226.9736633300781
2019-05-03 11:00:00,1340.9304809570312
2019-05-03 12:00:00,1385.55126953125
2019-05-03 13:00:00,1361.5462951660156
2019-05-03 14:00:00,1419.2327880859375
2019-05-03 15:00:00,1546.7539978027344
2019-05-03 16:00:00,1525.4374084472656
2019-05-03 17:00:00,1383.1868896484375
2019-05-03 18:00:00,1391.016845703125
2019-05-03 19:00:00,1515.6784973144531
2019-05-03 20:00:00,1527.5350341796875
2019-05-03 21:00:00,1557.4026184082031
2019-05-03 22:00:00,1574.1543273925781
2019-05-03 23:00:00,1528.328857421875
2019-05-04 00:00:00,1466.7708129882812
2019-05-04 01:00:00,1366.1622314453125
2019-05-04 02:00:00,1255.3642883300781
2019-05-04 03:00:00,1169.0341186523438
2019-05-04 04:00:00,1075.5679321289062
2019-05-04 05:00:00,999.5799102783203
2019-05-04 06:00:00,893.6106414794922
2019-05-04 07:00:00,817.6084594726562
2019-05-04 08:00:00,973.43701171875
2019-05-04 09:00:00,1209.8979797363281
2019-05-04 10:00:00,1347.8004455566406
2019-05-04 11:00:00,1422.2329711914062
2019-05-04 12:00:00,1518.0405578613281
2019-05-04 13:00:00,1591.2145690917969
2019-05-04 14:00:00,1674.5152893066406
2019-05-04 15:00:00,1590.2752990722656
2019-05-04 16:00:00,1506.2923583984375
2019-05-04 17:00:00,1421.3641052246094
2019-05-04 18:00:00,1522.4657897949219
2019-05-04 19:00:00,1535.1526184082031
2019-05-04 20:00:00,1482.5967407226562
2019-05-04 21:00:00,1527.0953674316406
2019-05-04 22:00:00,1570.7802734375
2019-05-04 23:00:00,1524.0285949707031
2019-05-05 00:00:00,1487.1941833496094
2019-05-05 01:00:00,1380.8525390625
2019-05-05 02:00:00,1227.8656921386719
2019-05-05 03:00:00,1127.6294555664062
2019-05-05 04:00:00,1057.0964050292969
2019-05-05 05:00:00,979.9192504882812
2019-05-05 06:00:00,877.4478302001953
2019-05-05 07:00:00,809.3145294189453
2019-05-05 08:00:00,904.8532562255859
2019-05-05 09:00:00,1043.3358612060547
2019-05-05 10:00:00,1184.3373718261719
2019-05-05 11:00:00,1305.7230529785156
2019-05-05 12:00:00,1440.5146179199219
2019-05-05 13:00:00,1576.7761535644531
2019-05-05 14:00:00,1712.0776672363281
2019-05-05 15:00:00,1758.7672119140625
2019-05-05 16:00:00,1792.7926330566406
2019-05-05 17:00:00,1711.5845947265625
2019-05-05 18:00:00,1735.0150146484375
2019-05-05 19:00:00,1835.1544189453125
2019-05-05 20:00:00,1860.3753356933594
2019-05-05 21:00:00,1962.4100036621094
2019-05-05 22:00:00,1981.9274291992188
2019-05-05 23:00:00,1883.69384765625
2019-05-06 00:00:00,1676.6670532226562
2019-05-06 01:00:00,1493.3048095703125
2019-05-06 02:00:00,1336.8797302246094
2019-05-06 03:00:00,1207.5756225585938
2019-05-06 04:00:00,1104.5140686035156
2019-05-06 05:00:00,1035.9705047607422
2019-05-06 06:00:00,968.5994873046875
2019-05-06 07:00:00,785.1356048583984
2019-05-06 08:00:00,789.9442901611328
2019-05-06 09:00:00,832.2052764892578
2019-05-06 10:00:00,914.6399383544922
2019-05-06 11:00:00,978.4476928710938
2019-05-06 12:00:00,1084.5110778808594
2019-05-06 13:00:00,1205.8683471679688
2019-05-06 14:00:00,1357.925048828125
2019-05-06 15:00:00,1629.7084350585938
2019-05-06 16:00:00,1673.0234375
2019-05-06 17:00:00,1543.8099060058594
2019-05-06 18:00:00,1535.5528259277344
2019-05-06 19:00:00,1698.2935180664062
2019-05-06 20:00:00,1852.3313598632812
2019-05-06 21:00:00,1930.8242797851562
2019-05-06 22:00:00,1949.9014892578125
2019-05-06 23:00:00,1835.3377990722656
2019-05-07 00:00:00,1655.7232055664062
2019-05-07 01:00:00,1452.4767456054688
2019-05-07 02:00:00,1304.5138549804688
2019-05-07 03:00:00,1183.5030517578125
2019-05-07 04:00:00,1082.4816589355469
2019-05-07 05:00:00,1005.9170532226562
2019-05-07 06:00:00,935.2292633056641
2019-05-07 07:00:00,789.9618682861328
2019-05-07 08:00:00,768.716552734375
2019-05-07 09:00:00,833.0406036376953
2019-05-07 10:00:00,911.2191009521484
2019-05-07 11:00:00,984.7814483642578
2019-05-07 12:00:00,1100.1076965332031
2019-05-07 13:00:00,1225.248779296875
2019-05-07 14:00:00,1334.50439453125
2019-05-07 15:00:00,1477.1651000976562
2019-05-07 16:00:00,1546.4830932617188
2019-05-07 17:00:00,1449.4445495605469
2019-05-07 18:00:00,1449.7550659179688
2019-05-07 19:00:00,1541.4188232421875
2019-05-07 20:00:00,1727.3779602050781
2019-05-07 21:00:00,1860.1613464355469
2019-05-07 22:00:00,1868.4395141601562
2019-05-07 23:00:00,1816.1263732910156
2019-05-08 00:00:00,1651.3658142089844
2019-05-08 01:00:00,1479.3454895019531
2019-05-08 02:00:00,1341.5479125976562
2019-05-08 03:00:00,1229.7074279785156
2019-05-08 04:00:00,1108.3883972167969
2019-05-08 05:00:00,1036.6099548339844
2019-05-08 06:00:00,969.9524841308594
2019-05-08 07:00:00,823.4441070556641
2019-05-08 08:00:00,823.5604858398438
2019-05-08 09:00:00,899.890869140625
2019-05-08 10:00:00,959.6299133300781
2019-05-08 11:00:00,996.2358703613281
2019-05-08 12:00:00,1125.1960144042969
2019-05-08 13:00:00,1240.0721130371094
2019-05-08 14:00:00,1393.5085144042969
2019-05-08 15:00:00,1632.9622497558594
2019-05-08 16:00:00,1706.4834289550781
2019-05-08 17:00:00,1566.650634765625
2019-05-08 18:00:00,1570.4798278808594
2019-05-08 19:00:00,1738.5749206542969
2019-05-08 20:00:00,1856.2241821289062
2019-05-08 21:00:00,1921.4510803222656
2019-05-08 22:00:00,1968.4195251464844
2019-05-08 23:00:00,1917.0674743652344
2019-05-09 00:00:00,1741.3213500976562
2019-05-09 01:00:00,1525.5487976074219
2019-05-09 02:00:00,1346.0900268554688
2019-05-09 03:00:00,1241.0342712402344
2019-05-09 04:00:00,1110.6570434570312
2019-05-09 05:00:00,1026.6215209960938
2019-05-09 06:00:00,966.4307403564453
2019-05-09 07:00:00,797.0034637451172
2019-05-09 08:00:00,734.5454559326172
2019-05-09 09:00:00,785.154296875
2019-05-09 10:00:00,840.3941040039062
2019-05-09 11:00:00,907.7839965820312
2019-05-09 12:00:00,983.4448089599609
2019-05-09 13:00:00,1077.2466735839844
2019-05-09 14:00:00,1224.058349609375
2019-05-09 15:00:00,1389.9129333496094
2019-05-09 16:00:00,1380.51611328125
2019-05-09 17:00:00,1287.7015075683594
2019-05-09 18:00:00,1314.4655151367188
2019-05-09 19:00:00,1405.7431640625
2019-05-09 20:00:00,1489.1438903808594
2019-05-09 21:00:00,1582.6685485839844
2019-05-09 22:00:00,1633.5983276367188
2019-05-09 23:00:00,1500.7634887695312
2019-05-10 00:00:00,1357.9144287109375
2019-05-10 01:00:00,1205.7173461914062
2019-05-10 02:00:00,1086.19384765625
2019-05-10 03:00:00,999.9300231933594
2019-05-10 04:00:00,928.8600463867188
2019-05-10 05:00:00,861.0823669433594
2019-05-10 06:00:00,878.3990173339844
2019-05-10 07:00:00,748.4815826416016
2019-05-10 08:00:00,723.8726043701172
2019-05-10 09:00:00,756.2797241210938
2019-05-10 10:00:00,871.2757263183594
2019-05-10 11:00:00,937.53564453125
2019-05-10 12:00:00,1076.5598449707031
2019-05-10 13:00:00,1176.100830078125
2019-05-10 14:00:00,1308.735595703125
2019-05-10 15:00:00,1559.3526000976562
2019-05-10 16:00:00,1679.303955078125
2019-05-10 17:00:00,1489.0488586425781
2019-05-10 18:00:00,1453.8109436035156
2019-05-10 19:00:00,1597.5414428710938
2019-05-10 20:00:00,1690.0559997558594
2019-05-10 21:00:00,1739.8941955566406
2019-05-10 22:00:00,1749.0679626464844
2019-05-10 23:00:00,1720.3061218261719
2019-05-11 00:00:00,1641.9017639160156
2019-05-11 01:00:00,1473.8280639648438
2019-05-11 02:00:00,1329.06396484375
2019-05-11 03:00:00,1198.6900024414062
2019-05-11 04:00:00,1083.6737060546875
2019-05-11 05:00:00,1003.4609680175781
2019-05-11 06:00:00,882.8481903076172
2019-05-11 07:00:00,825.0990142822266
2019-05-11 08:00:00,905.3699035644531
2019-05-11 09:00:00,1052.3336029052734
2019-05-11 10:00:00,1106.3246154785156
2019-05-11 11:00:00,1266.3365478515625
2019-05-11 12:00:00,1357.2925415039062
2019-05-11 13:00:00,1437.3233642578125
2019-05-11 14:00:00,1442.7413940429688
2019-05-11 15:00:00,1459.3602294921875
2019-05-11 16:00:00,1615.3918151855469
2019-05-11 17:00:00,1629.2648620605469
2019-05-11 18:00:00,1536.9278259277344
2019-05-11 19:00:00,1564.6810302734375
2019-05-11 20:00:00,1517.7663269042969
2019-05-11 21:00:00,1508.7243347167969
2019-05-11 22:00:00,1550.4712524414062
2019-05-11 23:00:00,1590.8473205566406
2019-05-12 00:00:00,1514.1082153320312
2019-05-12 01:00:00,1391.631591796875
2019-05-12 02:00:00,1279.58642578125
2019-05-12 03:00:00,1188.9290161132812
2019-05-12 04:00:00,1097.5322265625
2019-05-12 05:00:00,1012.9114227294922
2019-05-12 06:00:00,920.5927581787109
2019-05-12 07:00:00,857.4629974365234
2019-05-12 08:00:00,923.3992767333984
2019-05-12 09:00:00,1003.2239685058594
2019-05-12 10:00:00,1047.3080749511719
2019-05-12 11:00:00,1105.8495788574219
2019-05-12 12:00:00,1187.0253295898438
2019-05-12 13:00:00,1214.3925170898438
2019-05-12 14:00:00,1194.0823364257812
2019-05-12 15:00:00,1187.6115417480469
2019-05-12 16:00:00,1194.9493713378906
2019-05-12 17:00:00,1141.796875
2019-05-12 18:00:00,1225.4813232421875
2019-05-12 19:00:00,1382.1211547851562
2019-05-12 20:00:00,1445.1995849609375
2019-05-12 21:00:00,1540.7013549804688
2019-05-12 22:00:00,1631.5194396972656
2019-05-12 23:00:00,1595.9769592285156
2019-05-13 00:00:00,1409.628662109375
2019-05-13 01:00:00,1250.0932922363281
2019-05-13 02:00:00,1130.3805847167969
2019-05-13 03:00:00,1039.0535430908203
2019-05-13 04:00:00,948.0144500732422
2019-05-13 05:00:00,896.877197265625
2019-05-13 06:00:00,879.0737609863281
2019-05-13 07:00:00,723.3821411132812
2019-05-13 08:00:00,716.9337615966797
2019-05-13 09:00:00,802.4450073242188
2019-05-13 10:00:00,841.1920318603516
2019-05-13 11:00:00,850.7010192871094
2019-05-13 12:00:00,903.0532684326172
2019-05-13 13:00:00,943.9679565429688
2019-05-13 14:00:00,1101.776611328125
2019-05-13 15:00:00,1301.3627624511719
2019-05-13 16:00:00,1322.4257507324219
2019-05-13 17:00:00,1278.0720825195312
2019-05-13 18:00:00,1278.6306762695312
2019-05-13 19:00:00,1462.0802612304688
2019-05-13 20:00:00,1646.4695434570312
2019-05-13 21:00:00,1741.0398559570312
2019-05-13 22:00:00,1756.9072265625
2019-05-13 23:00:00,1637.7771606445312
2019-05-14 00:00:00,1490.299072265625
2019-05-14 01:00:00,1317.5267639160156
2019-05-14 02:00:00,1172.3499755859375
2019-05-14 03:00:00,1065.0209045410156
2019-05-14 04:00:00,982.9823608398438
2019-05-14 05:00:00,940.3984527587891
2019-05-14 06:00:00,920.5254974365234
2019-05-14 07:00:00,735.6372222900391
2019-05-14 08:00:00,683.7266540527344
2019-05-14 09:00:00,738.8875274658203
2019-05-14 10:00:00,825.5140228271484
2019-05-14 11:00:00,892.4073791503906
2019-05-14 12:00:00,969.8164367675781
2019-05-14 13:00:00,1054.8006439208984
2019-05-14 14:00:00,1165.7356872558594
2019-05-14 15:00:00,1341.3106079101562
2019-05-14 16:00:00,1430.4775695800781
2019-05-14 17:00:00,1407.654541015625
2019-05-14 18:00:00,1440.4977722167969
2019-05-14 19:00:00,1575.3744201660156
2019-05-14 20:00:00,1679.0818786621094
2019-05-14 21:00:00,1749.0964965820312
2019-05-14 22:00:00,1771.8201904296875
2019-05-14 23:00:00,1726.064208984375
2019-05-15 00:00:00,1513.1062927246094
2019-05-15 01:00:00,1351.9464721679688
2019-05-15 02:00:00,1202.0762634277344
2019-05-15 03:00:00,1103.1653442382812
2019-05-15 04:00:00,998.2587890625
2019-05-15 05:00:00,962.4831695556641
2019-05-15 06:00:00,937.1324310302734
2019-05-15 07:00:00,758.8671417236328
2019-05-15 08:00:00,694.2268676757812
2019-05-15 09:00:00,764.6195983886719
2019-05-15 10:00:00,823.5857543945312
2019-05-15 11:00:00,869.0139770507812
2019-05-15 12:00:00,891.7065582275391
2019-05-15 13:00:00,939.2729949951172
2019-05-15 14:00:00,988.9707183837891
2019-05-15 15:00:00,1220.4435729980469
2019-05-15 16:00:00,1293.5812072753906
2019-05-15 17:00:00,1248.4636535644531
2019-05-15 18:00:00,1290.0086669921875
2019-05-15 19:00:00,1418.7313842773438
2019-05-15 20:00:00,1530.6513671875
2019-05-15 21:00:00,1607.4853210449219
2019-05-15 22:00:00,1631.8575744628906
2019-05-15 23:00:00,1557.586669921875
2019-05-16 00:00:00,1403.1601257324219
2019-05-16 01:00:00,1249.6590270996094
2019-05-16 02:00:00,1114.0075378417969
2019-05-16 03:00:00,1018.4058685302734
2019-05-16 04:00:00,941.431884765625
2019-05-16 05:00:00,895.9340667724609
2019-05-16 06:00:00,880.9520111083984
2019-05-16 07:00:00,732.140380859375
2019-05-16 08:00:00,703.9386291503906
2019-05-16 09:00:00,742.6091461181641
2019-05-16 10:00:00,849.8428802490234
